1A,1B,1C,1D,1A
2A,2B,2C,2D,2A
3A,3B,3C,3D,3A
4A,4B,4C,4D,4A
5A,5B,5C,5D,5A
6A,6B,6C,6D,6A
7A,7B,7C,7D,7A
8A,8B,8C,8D,8A
9A,9B,9C,9D,9A
10A,10B,10C,10D,10A
11A,11B,11C,11D,11A
12A,12B,12C,12D,12A
13A,13B,13C,13D,13A
14A,14B,14C,14D,14A
15A,15B,15C,15D,15A
16A,16B,16C,16D,16A
17A,17B,17C,17D,17A
18A,18B,18C,18D,18A
19A,19B,19C,19D,19A
20A,20B,20C,20D,20A
21A,21B,21C,21D,21A
22A,22B,22C,22D,22A
23A,23B,23C,23D,23A
24A,24B,24C,24D,24A
25A,25B,25C,25D,25A
26A,26B,26C,26D,26A
27A,27B,27C,27D,27A
28A,28B,28C,28D,28A
29A,29B,29C,29D,29A
30A,30B,30C,30D,30A
